feature,importance
deposit_rate_lag1,0.49425787530999254
base_rate_lag1,0.2880184650784343
loan_rate_lag1,0.11597586896979747
import_price_lag6,0.02469432115713612
ESI_lag6,0.014446547084507192
deposit_rate_lag3,0.00985311039659311
loan_rate_lag3,0.008593011937282192
import_price_lag1,0.004703615611093487
import_price_lag3,0.004345706816653802
retail_sales_lag6,0.004185825920276585
PPI_lag1,0.004024467868178302
export_price_lag6,0.0029967264544013906
base_rate_lag3,0.002566837067081701
CCSI_lag3,0.0014183118134244083
manufacturing_capacity_utilization_lag6,0.0012012198298114475
us_policy_rate_lag6,0.0011350849109294254
retail_sales_lag1,0.0008372920276297274
kosdaq_index_lag1,0.0008188160993628264
us_industrial_production_lag6,0.0006175006398614297
retail_sales_lag3,0.0005757374728524845
CCSI_lag6,0.0004932884783699747
us_industrial_production_lag3,0.00045090804097515716
ESI_lag3,0.00042366566312102737
employment_lag3,0.00041690499909493797
current_account_lag3,0.00040526131398461367
PPI_lag6,0.0004012005248214995
us_industrial_production_lag1,0.00039228283923363065
monetary_base_lag6,0.0003825088976686379
leading_price_lag3,0.00037562726717309367
us_policy_rate_lag1,0.0003692541613608171
PPI_lag3,0.0003615022679464867
leading_price_lag6,0.00035061485917832057
loan_rate_lag6,0.0003187242824232951
terms_of_trade_lag6,0.0003073050696963129
terms_of_trade_lag1,0.0002594583459046925
unemployment_lag1,0.00023591671888302548
monetary_base_lag1,0.00021105192570736777
land_price_change_lag3,0.00020761986239812484
unemployment_lag6,0.0002067911716142208
CPI_lag1,0.000206063330365559
broad_liquidity_lag6,0.00019967841644397632
financial_institution_liquidity_lag6,0.00019695759049847498
household_credit_lag3,0.0001940123470905788
us_policy_rate_lag3,0.0001911362708275768
land_price_change_lag6,0.00018817645787865095
deposit_rate_lag6,0.00016727912805988666
total_deposits_lag3,0.00016682777097219815
manufacturing_production_lag6,0.0001662050393414178
total_deposits_lag1,0.00015884661549171882
capital_account_lag1,0.00014856742781676235
loans_outstanding_lag3,0.00014702568457243014
loans_outstanding_lag6,0.0001425093665154309
terms_of_trade_lag3,0.0001421235786683
broad_liquidity_lag3,0.00013300832001149926
kosdaq_index_lag6,0.0001319615901606033
manufacturing_capacity_utilization_lag3,0.00012655225448687959
financial_institution_liquidity_lag3,0.00012558767651513566
coincident_lag3,0.00012079239670384068
coincident_lag6,0.00011963450264305225
current_account_lag6,0.00011760718786428954
business_survey_lag3,0.0001171258830452087
broad_money_lag1,0.00011493496809823498
broad_money_lag3,0.00011423572787308167
CCSI_lag1,0.00011320762909969775
terms_of_income_trade_lag1,0.00011228952355167977
total_deposits_lag6,0.00011030874738577499
CPI_lag6,0.00010894010522781593
export_price_lag3,0.00010882560567420598
manufacturing_output_lag3,0.00010833991239595819
economic_growth_rate_lag3,0.00010492674390603224
financial_account_lag1,0.00010415398134727212
unemployment_lag3,0.00010186385776233304
import_value_lag1,0.00010180394990995826
CPI_lag3,0.00010063008155502931
us_CPI_lag6,9.751329369954582e-05
industrial_production_lag3,9.674680142589955e-05
GDP_lag3,9.413993342906e-05
export_price_lag1,9.331507368597132e-05
service_production_lag1,8.582154158308327e-05
export_value_lag6,8.581932156402984e-05
household_credit_lag1,8.575470460142154e-05
manufacturing_output_lag6,8.459137115839821e-05
broad_liquidity_lag1,8.285953088016955e-05
us_CPI_lag1,8.03671518905426e-05
financial_institution_liquidity_lag1,7.942288686118075e-05
capital_account_lag3,7.817441159286449e-05
capital_investment_lag6,7.739679296410855e-05
capital_investment_lag1,7.581021842084658e-05
capital_investment_lag3,7.552450244449224e-05
ESI_lag1,7.448294463984228e-05
loans_outstanding_lag1,7.292382291867761e-05
household_credit_lag6,6.866556590884799e-05
broad_money_lag6,6.821094373335355e-05
labor_force_participation_rate_lag3,6.667212558082771e-05
labor_force_participation_rate_lag1,6.642383650527264e-05
us_CPI_lag3,6.623530131753333e-05
credit_card_spending_lag3,6.502367682487681e-05
employment_lag1,6.502342507228067e-05
manufacturing_production_lag3,6.490173684183037e-05
business_survey_lag1,6.487515423855971e-05
GDP_lag6,6.403113707884931e-05
export_value_lag1,6.11628460863777e-05
coincident_lag1,6.061782971886421e-05
leading_price_lag1,6.005298137075514e-05
capital_account_lag6,5.8844664044549993e-05
manufacturing_capacity_utilization_lag1,5.7645521509126534e-05
current_account_lag1,5.713336942376273e-05
service_production_lag6,5.6791976207699365e-05
financial_account_lag6,5.4423191520828755e-05
economic_growth_rate_lag6,5.402253685729961e-05
credit_card_spending_lag6,5.061147105620392e-05
kosdaq_index_lag3,4.811867476735697e-05
service_production_lag3,4.7775064532368465e-05
land_price_change_lag1,4.6242628505141576e-05
industrial_production_lag6,4.586861929594355e-05
business_survey_lag6,4.394479333858595e-05
employment_lag6,4.3097209402235546e-05
monetary_base_lag3,4.2518745940476165e-05
manufacturing_production_lag1,4.180857861160086e-05
terms_of_income_trade_lag6,4.1346017026667836e-05
import_value_lag3,3.5823933552931776e-05
export_value_lag3,3.191396821126807e-05
base_rate_lag6,2.9884215149894347e-05
financial_account_lag3,2.962888732792085e-05
terms_of_income_trade_lag3,2.6753170256890434e-05
import_value_lag6,2.6718896148808532e-05
credit_card_spending_lag1,2.5251213569020297e-05
GDP_lag1,2.385699406869307e-05
economic_growth_rate_lag1,2.2244949449484215e-05
industrial_production_lag1,1.8943358203457643e-05
manufacturing_output_lag1,1.5192480678690137e-05
labor_force_participation_rate_lag6,1.266518268898637e-05
